INFO 2025-11-16 00:09:03,498 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-11-16 00:09:03,502 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-11-16 00:09:03,502 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-11-16 00:09:08,332 basehttp "GET /admin/usuarios/customuser/ HTTP/1.1" 200 21346
INFO 2025-11-16 00:09:08,387 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-11-16 00:09:08,393 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-11-16 00:09:08,401 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-11-16 00:09:08,401 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2025-11-16 00:09:08,418 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-11-16 00:09:08,438 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-11-16 00:09:08,443 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-11-16 00:09:08,443 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-11-16 00:09:08,445 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-11-16 00:09:08,456 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-11-16 00:09:08,471 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-11-16 00:09:08,525 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-11-16 00:09:08,529 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-11-16 00:09:08,538 basehttp "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2025-11-16 00:09:08,557 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-11-16 00:09:08,557 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-11-16 00:09:08,557 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-11-16 00:09:18,264 basehttp "GET /admin/usuarios/customuser/2/change/ HTTP/1.1" 200 35266
INFO 2025-11-16 00:09:18,319 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 8525
INFO 2025-11-16 00:09:18,335 basehttp "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-11-16 00:09:18,335 basehttp "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15845
INFO 2025-11-16 00:09:18,337 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
INFO 2025-11-16 00:09:18,337 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-11-16 00:09:18,349 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-11-16 00:09:18,370 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11991
INFO 2025-11-16 00:09:18,376 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-11-16 00:09:18,505 basehttp "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2025-11-16 00:09:18,511 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-11-16 00:09:18,627 basehttp "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-11-16 00:09:18,627 basehttp "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-11-16 00:09:38,430 basehttp "POST /admin/usuarios/customuser/2/change/ HTTP/1.1" 302 0
INFO 2025-11-16 00:09:38,528 basehttp "GET /admin/usuarios/customuser/ HTTP/1.1" 200 21586
INFO 2025-11-16 00:09:38,638 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-11-16 00:09:40,668 basehttp "GET /admin/usuarios/customuser/2/change/ HTTP/1.1" 200 35275
INFO 2025-11-16 00:09:40,767 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-11-16 00:09:55,970 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 396
INFO 2025-11-16 00:09:56,020 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 396
INFO 2025-11-16 00:10:00,084 basehttp "POST /api/ticket-types/ HTTP/1.1" 201 53
INFO 2025-11-16 00:10:00,138 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 450
INFO 2025-11-16 00:21:23,743 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 450
INFO 2025-11-16 00:21:23,811 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 450
INFO 2025-11-16 00:23:23,192 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 450
INFO 2025-11-16 00:23:23,356 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 450
INFO 2025-11-16 00:23:24,806 basehttp "OPTIONS /api/api/ticket-types/ HTTP/1.1" 200 0
INFO 2025-11-16 00:23:24,809 basehttp "OPTIONS /api/api/departments/ HTTP/1.1" 200 0
INFO 2025-11-16 00:23:24,811 basehttp "OPTIONS /api/api/cities/ HTTP/1.1" 200 0
INFO 2025-11-16 00:23:24,814 basehttp "OPTIONS /api/api/ticket-types/ HTTP/1.1" 200 0
INFO 2025-11-16 00:23:24,818 basehttp "OPTIONS /api/api/departments/ HTTP/1.1" 200 0
WARNING 2025-11-16 00:23:24,822 log Not Found: /api/api/ticket-types/
INFO 2025-11-16 00:23:24,824 basehttp "OPTIONS /api/api/cities/ HTTP/1.1" 200 0
WARNING 2025-11-16 00:23:24,829 log Not Found: /api/api/cities/
WARNING 2025-11-16 00:23:24,830 basehttp "GET /api/api/ticket-types/ HTTP/1.1" 404 10851
WARNING 2025-11-16 00:23:24,838 log Not Found: /api/api/departments/
WARNING 2025-11-16 00:23:24,840 basehttp "GET /api/api/cities/ HTTP/1.1" 404 10833
WARNING 2025-11-16 00:23:24,844 log Not Found: /api/api/ticket-types/
WARNING 2025-11-16 00:23:24,845 basehttp "GET /api/api/departments/ HTTP/1.1" 404 10848
WARNING 2025-11-16 00:23:24,852 log Not Found: /api/api/cities/
WARNING 2025-11-16 00:23:24,854 basehttp "GET /api/api/ticket-types/ HTTP/1.1" 404 10851
